VU00;2;izbirni;;63720;Uporabniški vmesniki ;poletni
VU00;2;izbirni;;63721;Algoritmi in podatkovne strukture 2 ;poletni
VU00;2;izbirni;;63722;Prevajalnik in navidezni stroji ;poletni
VU00;2;izbirni;;63723;Testiranje in kakovost ;poletni
VU00;2;izbirni;;63724;Razvoj informacijskih sistemov ;poletni
VU00;2;izbirni;;63725;Produkcija multimedijskih gradiv ;poletni
VU00;2;izbirni;;63726;Digitalno procesiranje signalov ;poletni
VU00;2;izbirni;;63727;Spletne tehnologije ;poletni
VU00;2;izbirni;;63728;Vhodno izhodne naprave ;poletni
VU00;2;izbirni;;63729;Načrtovanje digitalnih naprav ;poletni
VU00;2;izbirni;;63730;Odkrivanje zakonitosti iz podatkov ;poletni
VU00;2;izbirni;;63743;Angleški jezik nivo A ;poletni
VU00;2;izbirni;;63744;Angleški jezik nivo B ;zimski
VU00;2;izbirni;;63745;Angleški jezik nivo C ;poletni
VU00;2;izbirni;;63746;Ekonomika in organizacija informatike ;poletni
VU00;2;izbirni;;63747;Izbrana poglavja iz računalništva in informatike ;poletni
VU00;2;izbirni;;63748;Računalništvo v praksi I ;poletni
VU00;2;izbirni;;63749;Računalništvo v praksi II;poletni
VU00;3;obvezni;;63731;Projektni praktikum ;zimski
VU00;3;izbirni;;63732;Tehnologija programske opreme ;zimski
VU00;3;izbirni;;63733;Strateško planiranje informatike ;zimski
VU00;3;izbirni;;63734;Multimedijske tehnologije ;zimski
VU00;3;izbirni;;63735;Numerične metode ;zimski
VU00;3;izbirni;;63736;Sistemska programska oprema ;zimski
VU00;3;izbirni;;63737;Procesna avtomatika ;zimski
VU00;3;izbirni;;63738;Vgrajeni sistemi ;zimski
VU00;3;izbirni;;63739;Robotika in računalniško zaznavanje ;zimski
VU00;3;izbirni;;63740;Tehnologija iger in navidezna resničnost ;zimski
VU00;3;izbirni;;63741;Odločitveni sistemi ;zimski
VU00;3;izbirni;;63742;Vzporedni in porazdeljeni sistemi in algoritmi ;zimski
VU00;3;izbirni;;63743;Angleški jezik nivo A ;poletni
VU00;3;izbirni;;63744;Angleški jezik nivo B ;zimski
VU00;3;izbirni;;63745;Angleški jezik nivo C ;poletni
VU00;3;izbirni;;63746;Ekonomika in organizacija informatike ;poletni
VU00;3;izbirni;;63747;Izbrana poglavja iz računalništva in informatike ;poletni
VU00;3;izbirni;;63748;Računalništvo v praksi I ;poletni
VU00;3;izbirni;;63749;Računalništvo v praksi II;poletni
